"filename", "language", "Markdown", "JSON", "MS SQL", "YAML", "HTML", "CMake", "C++", "Swift", "XML", "Dart", "Python", "Properties", "comment", "blank", "total"
"f:\Projects\ktracer_center\lib\other-side\server.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 28, 69, 405
"f:\Projects\ktracer_center\lib\other-side\status.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"f:\Projects\ktracer_center\lib\other-side\tunnel.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"f:\Projects\ktracer_center\lib\other-side\update.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 9, 37
"f:\Projects\ktracer_center\lib\pages\devices_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 1, 8, 54
"f:\Projects\ktracer_center\lib\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 679, 0, 0, 12, 32, 723
"f:\Projects\ktracer_center\lib\pages\network_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 2, 8, 52
"f:\Projects\ktracer_center\lib\utils\synced_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 405, 0, 0, 38, 75, 518
"f:\Projects\ktracer_center\lib\widgets\add_device_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 2, 14, 198
"f:\Projects\ktracer_center\lib\widgets\avatar_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 7, 87
"f:\Projects\ktracer_center\lib\widgets\avatar_flyout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 5, 104
"f:\Projects\ktracer_center\lib\widgets\device_details\channel_group_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 493, 0, 0, 9, 41, 543
"f:\Projects\ktracer_center\lib\widgets\device_details\device_details.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 401, 0, 0, 4, 17, 422
"f:\Projects\ktracer_center\lib\widgets\device_details\mac_address_multi_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 310, 0, 0, 10, 27, 347
"f:\Projects\ktracer_center\lib\widgets\device_details\port_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 618, 0, 0, 41, 57, 716
"f:\Projects\ktracer_center\lib\widgets\device_details\port_management.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 661, 0, 0, 23, 50, 734
"f:\Projects\ktracer_center\lib\widgets\device_details\port_multi_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 0, 0, 6, 29, 336
"f:\Projects\ktracer_center\lib\widgets\device_details\synced_toggle_switch.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
